percepcion,ideologia,KEY
Aprueba algo,PRI,5_25
Aprueba mucho,PRI,5_25
Aprueba algo,PRI,5_25
Desaprueba mucho,PAN,5_25
Desaprueba mucho,PRD,5_25
Desaprueba algo,PAN,5_25
Desaprueba algo,Encuentro Social,5_25
Aprueba mucho,PRI,5_25
Desaprueba mucho,Ninguno,5_30
Desaprueba mucho,Ns|Nc',5_30
Aprueba mucho,PRI,5_30
Ni aprueba ni desaprueba,PRI,5_30
Desaprueba algo,PRI,5_30
Aprueba algo,PRI,5_30
Ni aprueba ni desaprueba,PT,5_30
Desaprueba algo,PT,5_30
Desaprueba algo,PT,5_35
Aprueba algo,PRI,5_35
Desaprueba mucho,Morena,5_35
Desaprueba mucho,Morena,5_35
Ni aprueba ni desaprueba,Ninguno,5_35
Aprueba mucho,PRI,5_35
Ni aprueba ni desaprueba,PRD,5_35
Desaprueba mucho,Morena,5_35
Desaprueba algo,PRD,7_25
Aprueba mucho,PRI,7_25
Desaprueba algo,PAN,7_25
Aprueba mucho,PAN,7_25
Aprueba mucho,PRI,7_25
Desaprueba mucho,Morena,7_25
Aprueba mucho,PRI,7_25
Aprueba mucho,PAN,7_25
Desaprueba mucho,PAN,7_31
Aprueba mucho,PRI,7_31
Aprueba mucho,PRI,7_31
Aprueba mucho,PRI,7_31
Aprueba mucho,PRI,7_31
Aprueba mucho,PRI,7_31
Desaprueba mucho,Morena,7_31
Desaprueba mucho,PRD,7_31
Aprueba algo,PRI,7_39
Desaprueba mucho,PRD,7_39
Aprueba mucho,PAN,7_39
Desaprueba mucho,PRD,7_39
Desaprueba mucho,Morena,7_39
Aprueba mucho,PRI,7_39
Aprueba mucho,PRI,7_39
Desaprueba algo,PRD,7_39
Aprueba mucho,PRI,7_54
Desaprueba mucho,Morena,7_54
Aprueba mucho,PRI,7_54
Aprueba mucho,PRI,7_54
Desaprueba mucho,Morena,7_54
Aprueba mucho,PRI,7_54
Desaprueba mucho,Morena,7_54
Aprueba mucho,PRI,7_54
Aprueba mucho,PRI,7_78
Desaprueba mucho,Morena,7_78
Aprueba mucho,PRI,7_78
Desaprueba mucho,Morena,7_78
Aprueba mucho,PRI,7_78
Desaprueba mucho,PAN,7_78
Aprueba mucho,PRI,7_78
Desaprueba mucho,PAN,7_78
Aprueba mucho,PRI,8_10
Desaprueba mucho,Ninguno,8_10
Ni aprueba ni desaprueba,PRI,8_10
Aprueba algo,PRI,8_10
Ni aprueba ni desaprueba,PRI,8_10
Aprueba algo,Ninguno,8_10
Desaprueba algo,PRI,8_10
Ni aprueba ni desaprueba,PRI,8_10
Desaprueba mucho,Ninguno,8_19
Aprueba algo,PRI,8_19
Desaprueba mucho,Ninguno,8_19
Desaprueba mucho,PAN,8_19
Desaprueba mucho,Morena,8_19
Aprueba mucho,PRI,8_19
Desaprueba algo,PVEM,8_19
Desaprueba mucho,Ninguno,8_19
Desaprueba mucho,Morena,8_21
Desaprueba mucho,PAN,8_21
Ni aprueba ni desaprueba,PRD,8_21
Desaprueba algo,PAN,8_21
Ni aprueba ni desaprueba,Ninguno,8_21
Ni aprueba ni desaprueba,PAN,8_21
Desaprueba algo,PRI,8_21
Desaprueba algo,Ninguno,8_21
Desaprueba mucho,PAN,8_37
Desaprueba mucho,Morena,8_37
Aprueba mucho,PRI,8_37
Desaprueba mucho,Morena,8_37
Desaprueba mucho,Ninguno,8_37
Ni aprueba ni desaprueba,Ninguno,8_37
Ni aprueba ni desaprueba,PRI,8_37
Ni aprueba ni desaprueba,PT,8_37
Desaprueba mucho,Ninguno,8_37
Desaprueba mucho,Ninguno,8_37
Aprueba algo,Nueva Alianza,8_37
Desaprueba mucho,Ninguno,8_37
Desaprueba mucho,Morena,8_37
Desaprueba mucho,PAN,8_37
Ni aprueba ni desaprueba,PRI,8_37
Desaprueba algo,PAN,8_37
Desaprueba algo,PT,8_37
Desaprueba mucho,Morena,8_37
Desaprueba mucho,PAN,8_37
Desaprueba mucho,Ninguno,8_37
Desaprueba algo,Morena,8_37
Aprueba algo,Ninguno,8_37
Desaprueba mucho,Ninguno,8_37
Desaprueba algo,Morena,8_37
Aprueba algo,Morena,9_3
Desaprueba mucho,PRD,9_3
Ni aprueba ni desaprueba,Morena,9_3
Desaprueba algo,PRI,9_3
Desaprueba mucho,Ninguno,9_3
Desaprueba algo,PVEM,9_3
Desaprueba algo,Ns|Nc',9_3
Desaprueba mucho,PRD,9_3
Desaprueba mucho,PRD,9_3
Desaprueba mucho,PAN,9_3
Desaprueba mucho,Morena,9_3
Desaprueba mucho,Morena,9_3
Desaprueba algo,PRD,9_3
Ni aprueba ni desaprueba,Ninguno,9_3
Desaprueba mucho,Morena,9_3
Desaprueba mucho,Morena,9_3
Desaprueba mucho,Ninguno,9_3
Desaprueba mucho,Ns|Nc',9_3
Ni aprueba ni desaprueba,Ninguno,9_3
Desaprueba mucho,PAN,9_3
Desaprueba algo,PAN,9_3
Desaprueba mucho,Ninguno,9_3
Desaprueba mucho,PRI,9_3
Desaprueba mucho,Morena,9_3
Desaprueba mucho,PAN,9_5
Ni aprueba ni desaprueba,PRD,9_5
Desaprueba mucho,Morena,9_5
Aprueba algo,Morena,9_5
Desaprueba algo,Movimiento Ciudadano,9_5
Desaprueba mucho,Morena,9_5
Desaprueba mucho,Morena,9_5
Ni aprueba ni desaprueba,Morena,9_5
Desaprueba mucho,Ninguno,9_5
Desaprueba algo,Ninguno,9_5
Desaprueba algo,Ninguno,9_5
Desaprueba mucho,Morena,9_5
Desaprueba algo,Ninguno,9_5
Desaprueba algo,PRI,9_5
Desaprueba algo,Ninguno,9_5
Desaprueba mucho,Morena,9_5
Ni aprueba ni desaprueba,Ninguno,9_6
Desaprueba algo,PRI,9_6
Aprueba algo,Morena,9_6
Desaprueba algo,Ninguno,9_6
Desaprueba mucho,PAN,9_6
Aprueba algo,Morena,9_6
Desaprueba mucho,Ninguno,9_6
Desaprueba algo,Morena,9_6
Desaprueba algo,Ninguno,9_7
Desaprueba algo,Morena,9_7
Desaprueba algo,PRI,9_7
Desaprueba mucho,Ninguno,9_7
Aprueba algo,Ninguno,9_7
Desaprueba algo,Morena,9_7
Desaprueba mucho,Morena,9_7
Desaprueba algo,Ninguno,9_7
Ni aprueba ni desaprueba,Ninguno,9_8
Aprueba algo,PRI,9_8
Aprueba algo,PRI,9_8
Aprueba algo,PRI,9_8
Ni aprueba ni desaprueba,Ninguno,9_8
Desaprueba algo,Morena,9_8
Desaprueba mucho,Ninguno,9_8
Desaprueba algo,Morena,9_8
Desaprueba mucho,Morena,9_10
Aprueba algo,PRI,9_10
Aprueba algo,Morena,9_10
Aprueba algo,PAN,9_10
Desaprueba algo,PAN,9_10
Aprueba algo,PRI,9_10
Desaprueba algo,Ninguno,9_10
Desaprueba mucho,PRI,9_10
Desaprueba mucho,Ns|Nc',9_12
Desaprueba mucho,Morena,9_12
Aprueba algo,PAN,9_12
Desaprueba algo,PRI,9_12
Desaprueba algo,PAN,9_12
Desaprueba mucho,Morena,9_12
Desaprueba algo,Morena,9_12
Ni aprueba ni desaprueba,Morena,9_12
Desaprueba mucho,PAN,9_12
Ni aprueba ni desaprueba,PRI,9_12
Desaprueba algo,PRI,9_12
Desaprueba mucho,Ninguno,9_12
Desaprueba mucho,Ninguno,9_12
Desaprueba mucho,Morena,9_12
Aprueba algo,Ninguno,9_12
Desaprueba mucho,Movimiento Ciudadano,9_12
Aprueba algo,Encuentro Social,9_13
Desaprueba algo,Morena,9_13
Ns|Nc',Ninguno,9_13
Aprueba algo,PRI,9_13
Aprueba algo,Morena,9_13
Desaprueba algo,Ninguno,9_13
Ni aprueba ni desaprueba,Ninguno,9_13
Desaprueba mucho,Morena,9_13
Aprueba algo,PRI,9_15
Desaprueba mucho,Morena,9_15
Desaprueba mucho,Ninguno,9_15
Desaprueba mucho,Morena,9_15
Aprueba algo,Morena,9_15
Ni aprueba ni desaprueba,Morena,9_15
Aprueba algo,PRI,9_15
Desaprueba algo,PAN,9_15
Desaprueba mucho,PAN,10_5
Desaprueba algo,PAN,10_5
Desaprueba algo,Morena,10_5
Desaprueba mucho,Ninguno,10_5
Aprueba algo,PRI,10_5
Ni aprueba ni desaprueba,Ninguno,10_5
Desaprueba mucho,Ninguno,10_5
Desaprueba mucho,PAN,10_5
Desaprueba mucho,PAN,11_7
Ni aprueba ni desaprueba,PRI,11_7
Desaprueba algo,Ninguno,11_7
Ni aprueba ni desaprueba,PAN,11_7
Desaprueba mucho,Morena,11_7
Desaprueba mucho,Morena,11_7
Desaprueba mucho,PAN,11_7
Ns|Nc',PRI,11_7
Desaprueba algo,PAN,11_7
Aprueba algo,PRI,11_7
Desaprueba mucho,PAN,11_7
Desaprueba algo,PAN,11_7
Desaprueba mucho,Ninguno,11_7
Desaprueba mucho,PAN,11_7
Desaprueba mucho,Morena,11_7
Desaprueba algo,Ns|Nc',11_7
Desaprueba mucho,Ninguno,11_20
Aprueba algo,PAN,11_20
Desaprueba algo,Ninguno,11_20
Ns|Nc',Ninguno,11_20
Desaprueba algo,Ninguno,11_20
Aprueba algo,PRI,11_20
Desaprueba algo,PAN,11_20
Ns|Nc',PAN,11_20
Desaprueba algo,PAN,11_20
Desaprueba algo,PRI,11_20
Desaprueba mucho,PAN,11_20
Desaprueba mucho,PAN,11_20
Desaprueba mucho,Morena,11_20
Aprueba algo,PRI,11_20
Desaprueba algo,PAN,11_20
Desaprueba algo,Ninguno,11_20
Ni aprueba ni desaprueba,PRI,11_26
Desaprueba algo,Movimiento Ciudadano,11_26
Desaprueba mucho,Morena,11_26
Aprueba algo,PRI,11_26
Ni aprueba ni desaprueba,Ns|Nc',11_26
Ni aprueba ni desaprueba,PRI,11_26
Desaprueba algo,PRI,11_26
Desaprueba algo,PAN,11_26
Desaprueba algo,PAN,11_44
Desaprueba algo,Ninguno,11_44
Desaprueba algo,Ninguno,11_44
Ni aprueba ni desaprueba,PRI,11_44
Desaprueba algo,PRI,11_44
Ni aprueba ni desaprueba,Morena,11_44
Desaprueba algo,PRI,11_44
Desaprueba mucho,Ninguno,11_44
Ni aprueba ni desaprueba,PRI,12_1
Ni aprueba ni desaprueba,PRI,12_1
Desaprueba mucho,PRI,12_1
Desaprueba mucho,Ninguno,12_1
Desaprueba mucho,Ns|Nc',12_1
Aprueba algo,PRI,12_1
Desaprueba mucho,Morena,12_1
Desaprueba algo,PRD,12_1
Ni aprueba ni desaprueba,PT,12_1
Desaprueba mucho,PRI,12_1
Ni aprueba ni desaprueba,PRD,12_1
Ni aprueba ni desaprueba,Morena,12_1
Ni aprueba ni desaprueba,PRI,12_1
Ni aprueba ni desaprueba,PRI,12_1
Aprueba algo,PRI,12_1
Ni aprueba ni desaprueba,PRD,12_1
Ni aprueba ni desaprueba,Ns|Nc',12_28
Desaprueba algo,Morena,12_28
Desaprueba algo,PAN,12_28
Ni aprueba ni desaprueba,Ns|Nc',12_28
Ni aprueba ni desaprueba,Ninguno,12_28
Desaprueba algo,Morena,12_28
Desaprueba algo,PRD,12_28
Ni aprueba ni desaprueba,Ns|Nc',12_28
Desaprueba algo,Morena,12_40
Desaprueba algo,Ninguno,12_40
Ni aprueba ni desaprueba,PRI,12_40
Ni aprueba ni desaprueba,Morena,12_40
Ns|Nc',PRI,12_40
Ni aprueba ni desaprueba,PRI,12_40
Desaprueba algo,Morena,12_40
Ni aprueba ni desaprueba,PAN,12_40
Desaprueba algo,Morena,13_15
Aprueba algo,PAN,13_15
Aprueba algo,PRI,13_15
Desaprueba algo,Morena,13_15
Ni aprueba ni desaprueba,PAN,13_15
Aprueba algo,PRI,13_15
Aprueba algo,PRI,13_15
Aprueba algo,PRI,13_15
Aprueba algo,Morena,13_37
Ni aprueba ni desaprueba,PAN,13_37
Ni aprueba ni desaprueba,PRI,13_37
Ni aprueba ni desaprueba,PRI,13_37
Desaprueba algo,Morena,13_37
Aprueba algo,PRI,13_37
Desaprueba mucho,Morena,13_37
Desaprueba algo,PRI,13_37
Desaprueba mucho,Ninguno,13_47
Desaprueba algo,Morena,13_47
Aprueba algo,PRI,13_47
Desaprueba mucho,PAN,13_47
Desaprueba algo,PAN,13_47
Aprueba algo,PRI,13_47
Aprueba algo,PRI,13_47
Aprueba algo,Ninguno,13_47
Desaprueba algo,PAN,13_68
Desaprueba algo,Morena,13_68
Desaprueba mucho,PAN,13_68
Aprueba algo,PRI,13_68
Desaprueba mucho,PAN,13_68
Desaprueba mucho,Morena,13_68
Desaprueba mucho,Ns|Nc',13_68
Desaprueba mucho,Morena,13_68
Desaprueba mucho,PAN,14_41
Aprueba algo,PRI,14_41
Desaprueba mucho,Morena,14_41
Desaprueba mucho,Ninguno,14_41
Desaprueba mucho,Ninguno,14_41
Desaprueba mucho,Morena,14_41
Aprueba algo,PRI,14_41
Aprueba algo,PAN,14_41
Desaprueba mucho,Movimiento Ciudadano,14_41
Desaprueba mucho,Morena,14_41
